Product Name or Number,FRU MARKETING PART NUMBER,NETAPP PART NUMBER OF PACK,"Simplified Net Weight(Grams)",UN 38.3 Certificate,MSDS,SHIPPING INFORMATION,Lithium Safety Document,Package,Package Dimensions,"SHPG,BOX, 10pk","SHPG,BOX, 10pk, Dimensions",,,

FAS2020,X1848A-R5,271-00010,100,271-00010-C0-EnergySales-UN38-3.pdf,Panasonic-Li-Ion-210-06678+D0.pdf,"For Battery FRU: Lithium Ion Battery Pack, IATA PI 965, UN 3480","NetApp-lithium-batteries-safety-doc.pdf",400-00101,15.5x9.1x2.3,400-00662 ,18.8x15.8x12,,,
FAS2050,X1849A-R5,271-00011,200,271-00011-C0-EnergySales-UN38-3.pdf,,,,,,,,,,
FAS2040,X1845A-R6,271-00024,100,271-00024-ENERGYSALES-UN38-3.pdf,,,,,,,,,,
"NVRAM, FAS62xx",X1837-R6,271-00025,100,271-00025-UN38-3.pdf,,,,,,,,,,
FAS32xx,X3148A-R6,271-00027,200,271-00027-EnergySales-UN38-3.pdf,,,,,,,,,,
"FAS22xx, FAS25xx",X3117A-R6,271-00029,100,271-00029-UN38-3-Rev6-210-06689+B0.pdf,,,,,,,,,,
FAS8020,X1839-R6,271-00042,250,271-00042-pal-UN38-3.pdf,,,,,,,,,,
"FAS8040, FAS8060, FAS8080",X1834-R6,271-00043,200,271-00043-UN38-3-Rev6-210-06691+B0.pdf,,,,,,,,,,
"Razor-M FAS26xx FAS27xx A200 AURORA A700S Apollo A800 SABER","X3152A X3155A",271-00045,150,271-00045-SONY-UN38-3-210-06697+B0.pdf,LG-INR18650MF1-210-06704+D0.pdf,"
,,,,271-00045-LG-UN38-3-210-06696+B0.pdf,,,,,,,,,,
"Razor-XL FAS8200 A300 LML FAS9000 A700 X98100A ",X3150A,271-00046,250,271-00046-SONY-UN38-3-210-06699+B0.pdf,TMM-US18650VTC4-210-06681+D0.pdf,,,,,,,,,
,,,,271-00046-LG-UN38-3-210-06698+B0.pdf,,,,,,,,,,
